"","X1","X2","MeanDecreaseAccuracy","MeanDecreaseGini"
"Firmicutes",-0.802471253336129,-2.14005513792907,-1.90500996687589,1.16505174361065
"Actinobacteria",1.32535381864537,-3.1170983190817,-1.07248009455571,1.24532043748449
"Cyanobacteria",5.03540179939207,-4.40872786902126,0.727157884348174,1.26687387265887
"Tenericutes",1.49109291151192,-4.48363516563761,-1.8525865453457,1.2046543834726
"Deinococcus.Thermus",3.34442497140041,-4.6882854210546,-0.99647118997407,0.88538817345069
"Chloroflexi",6.51878263777698,-2.32087325419725,3.43279215586972,1.03073783423886
"Bacteroidetes",-2.81133839719371,-4.78078407397531,-5.10392038022823,1.13099150700553
"Candidatus.Magasanikbacteria",0.91132405141912,-0.988294435497799,0.0813173546697853,0.326698055654736
"Candidatus.Giovannonibacteria",-1.91298209291603,-1.01479727708534,-2.22126535167363,0.10050009546285
"Candidatus.Daviesbacteria",1.42629353229893,-2.03121423684916,-0.56351828012891,0.406156794576594
"Candidatus.Saccharibacteria",-2.67907730397981,-2.26124758324871,-3.07287558491834,0.23101061266507
"Candidatus.Peregrinibacteria",6.81886901005904,-2.79574360866003,2.5915892381665,0.682544182340773
"Fusobacteria",0.780034399064531,-4.88622267487338,-2.45322143927846,1.08094227195961
"Planctomycetes",13.1947860032322,-2.59300712616412,8.50927965872501,1.11368270377331
"Verrucomicrobia",6.05307343037026,-2.94390798982614,2.52761749272002,0.84639308126423
"Chlamydiae",2.01010865219528,-3.34667957830827,-0.701877484439664,0.697540866919954
"Lentisphaerae",-1.11003471415472,-1.86005898181754,-1.66357989594982,0.256849275228949
"Nitrospirae",-2.21388547834656,-3.42042565657604,-3.56858702827353,0.679216561800068
"Spirochaetes",5.88886471297823,-4.51179120216569,1.24621994147643,1.07832368903584
"Acidobacteria",10.843491343811,-0.804296851696676,7.41608395975078,0.659447353819955
"Aquificae",-4.28766147448993,-2.06832467997112,-4.06572691891156,0.562716591900722
"Calditrichaeota",-3.22646422105594,-1.72905004369916,-3.2224907593907,0.309649301185937
"Synergistetes",3.53773004736761,-3.75994433537554,0.401904033339152,0.640170554980056
"Deferribacteres",-0.673496353631017,-3.7937245509078,-2.96935662678406,0.588504409825072
"Thermotogae",8.68987879737112,-4.53021087770611,2.88980939248707,0.910587385828467
"Thaumarchaeota",6.02148585543448,-4.40718335715235,1.55121169397143,0.72862711383848
"Crenarchaeota",8.87885203232663,-2.94416064453402,4.61084005333901,1.01149662948999
"Euryarchaeota",8.44511061013177,-5.07970890338227,3.05468696953229,1.29559332844283
"candidate.division.CPR2",-1.34130182834827,-2.85007701800013,-2.66677861726192,0.231150641084941
"Ignavibacteriae",-3.45025079147462,-3.34032594949936,-4.36723630178864,0.255941358680599
"Candidatus.Roizmanbacteria",-2.58651235887487,-3.65897294045978,-4.13951325550597,0.380815214666072
"Chlorobi",10.382312527879,-3.48291075628843,5.50737062549013,0.972094961429121
"Candidatus.Moranbacteria",-0.867425234821321,-3.63801130476459,-2.96880148532358,0.363270741856794
"Gemmatimonadetes",5.89157915220378,-3.69019876211792,1.95609309165914,0.542457928317672
"Thermodesulfobacteria",1.09158254357832,-2.13286969470942,-0.513922128709512,0.521875422823171
"Candidatus.Curtissbacteria",-3.65839696040986,-0.58170656050226,-2.86462045323633,0.25594518227759
"Candidatus.Jorgensenbacteria",-0.383909202143566,-2.20376468291137,-1.82539419442081,0.183712945601147
"Chrysiogenetes",-3.2426487036439,-1.98705851642624,-3.56193997897625,0.0452498208214292
"Armatimonadetes",-2.61120376204384,-3.30158629555124,-4.20200441437785,0.425452555943492
"Candidatus.Collierbacteria",-4.00214136932117,-1.67393408419155,-3.81640286328465,0.0998162497189747
"Dictyoglomi",-3.75927915673387,-3.60546223892238,-4.61223398436351,0.300852424645914
"Candidatus.Falkowbacteria",0.101447229686457,0.784006289032607,0.829165700416907,0.142726452152403
"Candidatus.Nomurabacteria",-1.35759235299798,-2.05870255009202,-2.30367740613895,0.445780088605024
"Candidatus.Amesbacteria",-2.62212167147793,-3.32534762126258,-3.87624612259618,0.173251197685644
"Candidatus.Gottesmanbacteria",-3.65283579292603,-2.77209366089731,-4.1633036707495,0.39972914809729
"Candidatus.Uhrbacteria",-0.543950599968594,-2.98804761404794,-2.25944649458881,0.28145772234323
"Candidatus.Kaiserbacteria",0.866409599843863,-1.80915810283184,-0.909815645386385,0.042289106854811
"Candidatus.Wolfebacteria",-1.22421473544432,-0.916306709968068,-1.28084395687538,0.104331020644219
"Candidatus.Yanofskybacteria",2.36373485501196,-2.02667942645644,0.505457866488163,0.400035709972358
"Candidatus.Woesebacteria",4.58730528115105,-2.95332644025112,1.11208967637432,0.503139040326588
"Kiritimatiellaeota",5.61043212148948,-0.709155511471096,3.46583241888681,0.282312205957159
"Coprothermobacterota",-1.52398490951158,-2.99582037459855,-2.85532935583191,0.045596550150166
"Fibrobacteres",-0.882287315105287,-1.90661353119854,-1.73869660340618,0.0976588078462638
"Candidatus.Kuenenbacteria",0.825680423151791,-1.40162532768048,-0.318938936155399,0.0404988959946825
"Candidatus.Levybacteria",1.03250843609705,-4.21376567807938,-2.22260407876306,0.181320820685721
"candidate.division.WWE3",2.83358859623098,0.709725536299399,2.23706808110717,0.105367876330112
"Elusimicrobia",-0.523817126844737,-2.11204504069387,-1.831388287224,0.114338954300126
"Candidatus.Azambacteria",-1.70859481136502,-2.28892932639736,-2.45860359939525,0.187680192310808
"Candidatus.Berkelbacteria",-3.21806280755713,-2.89933118373537,-3.93364977736946,0.0993100379329392
"Candidatus.Adlerbacteria",0.285256816141258,-1.23670300201768,-0.857307973204458,0.0484284930556447
"candidate.division.CPR1",-1.67054653812239,-1.22218082047103,-1.80948085009932,0.0525560498901861
